Name; Adress; url 
Mateusz Popielarski; Lawendowa 48, PoznańMassage Popielarski & Partners; https://www.znanylekarz.pl/mateusz-popielarski/fizjoterapeuta/poznan#address-id=[459820] 
mgr Adam Kucharczyk; Niegolewskich 30, PoznańLEKARZ Prywatne Gabinety Lekarskie; https://www.znanylekarz.pl/adam-kucharczyk/fizjoterapeuta-terapeuta/poznan#address-id=[927017] 
mgr Michał Nowak; Promienista 62, PoznańSMART THERAPY; https://www.znanylekarz.pl/michal-nowak-2/fizjoterapeuta/poznan#address-id=[284256] 
Joanna Gierak; ul. Dąbrowskiego 81/85, PoznańPozmedica; https://www.znanylekarz.pl/joanna-gierak/fizjoterapeuta/poznan#address-id=[922649] 
mgr Adam Lebiotkowski; Ratajczaka 31/9, PoznańALfizjo Adam Lebiotkowski; https://www.znanylekarz.pl/adam-lebiotkowski/fizjoterapeuta/poznan#address-id=[896188] 
mgr Natalia Hemmerling; Ul. Dworcowa 4B/1, SwarzędzGabinet Dietetyczny Natalia Hemmerling - Skin Medicineosiedle Rusa 54, PoznańGabinet Dietetyczny Natalia Hemmerling - Twój Gabinet (w pasażu handlowym); https://www.znanylekarz.pl/natalia-hemmerling/dietetyk-fizjoterapeuta/poznan#address-id=[916317,930186] 
mgr Izabella Malara; Obornicka 85 lok 204 Galeria Sucholeska 2piętro, Suchy LasLekarze SPECJALIŚCI; https://www.znanylekarz.pl/izabella-malara/fizjoterapeuta/suchy-las#address-id=[900330] 
Piotr Czarnecki; os. Wichrowe Wzgórze 33i/1, PoznańFIZJOSPORTS Osteopatia Fizjoterapia Piotr Czarnecki Osteopata; https://www.znanylekarz.pl/piotr-czarnecki-2/fizjoterapeuta-terapeuta-specjalista-medycyny-naturalnej/kutno#address-id=[877026] 
mgr Mateusz Jezierski; Osiedle przyjaźni 142 (budynek administracji), PoznańLUX-MEDICA Gabinet Fizjoterapii i Rehabilitacji Medycznej; https://www.znanylekarz.pl/mateusz-jezierski/fizjoterapeuta-terapeuta/poznan#address-id=[458702] 
mgr Bartosz Żbik; Promienista 62, PoznańSMART THERAPY; https://www.znanylekarz.pl/bartosz-zbik/fizjoterapeuta-terapeuta/poznan#address-id=[273562] 
dr Mateusz W. Romanowski; Ul. Serafitek 11 (wyspa piekna), PoznańOSTEOPACI.com; https://www.znanylekarz.pl/mateusz-romanowski-2/fizjoterapeuta-terapeuta/kornik#address-id=[495478] 
Michał Nogaj; Niegolewskich 30, PoznańLEKARZ Prywatne Gabinety Lekarskie; https://www.znanylekarz.pl/michal-nogaj/fizjoterapeuta-specjalista-medycyny-naturalnej-terapeuta/poznan#address-id=[925554] 
dr n. med. Małgorzata Chochowska; Plac Zielony 26, SwarzędzKORE Centrum Fizjoterapii Specjalistycznej; https://www.znanylekarz.pl/malgorzata-chochowska/fizjoterapeuta-terapeuta/poznan#address-id=[456620] 
Hanna Stróżniak; os. Rusa 54, PoznańRehaMedica Gabinet Rehabilitacji i Terapii Manualnej; https://www.znanylekarz.pl/hanna-strozniak/fizjoterapeuta/poznan#address-id=[925802] 
dr n. med. Marian Majchrzycki; ul. 28 Czerwca 1956r nr 135, PoznańCentrum Medyczne Stanley Poznań; https://www.znanylekarz.pl/marian-majchrzycki/fizjoterapeuta-terapeuta/poznan#address-id=[470366] 
mgr Aleksandra Pustkowiak; Bliźniąt 12  C3, PoznańHimal-Centrum Terapii Dzieci; https://www.znanylekarz.pl/aleksandra-pustkowiak/fizjoterapeuta-terapeuta-diagnostyk/poznan#address-id=[906536] 
Agata Rutkowska; Obornicka 85 lok 204 Galeria Sucholeska 2piętro, Suchy LasLekarze SPECJALIŚCI; https://www.znanylekarz.pl/agata-rutkowska/fizjoterapeuta/suchy-las#address-id=[499721] 
mgr Małgorzata Bednarczuk; Obornicka 85 lok 204 Galeria Sucholeska 2piętro, Suchy LasLekarze SPECJALIŚCI; https://www.znanylekarz.pl/malgorzata-bednarczuk/fizjoterapeuta/suchy-las#address-id=[924139] 
mgr Konrad Marciniak; Franklina Roosevelta 18, PoznańCentrum Medyczne Grupa LUX MED – Poznań,  ul. Roosevelta 18; https://www.znanylekarz.pl/konrad-marciniak/fizjoterapeuta/poznan#address-id=[915701] 
mgr Marek Barłożek; Franklina Roosevelta 18, PoznańCentrum Medyczne Grupa LUX MED – Poznań,  ul. Roosevelta 18; https://www.znanylekarz.pl/marek-barlozek/fizjoterapeuta/poznan#address-id=[895226] 
